Sentence,SIGN GLOSSES,Category
Thank you.,THANK YOU,MEETING_POLITENESS
Thank you so much.,THANK YOU SO MUCH,MEETING_POLITENESS
Sorry.,SORRY,MEETING_POLITENESS
Nice to meet you.,NICE MEET YOU,MEETING_GREETING
You are welcome.,YOU WELCOME,MEETING_POLITENESS
How are you?,HOW YOU,MEETING_GREETING
How are things?,HOW THINGS,MEETING_GREETING
Can I help you?,HOW I HELP YOU,MEETING_HELP
Can you repeat that please,YOU REPEAT PLEASE,MEETING_CLARIFICATION
Could you please talk slower?,YOU PLEASE TALK SLOWER,MEETING_CLARIFICATION
I understand.,I UNDERSTAND,MEETING_RESPONSE
I do not agree.,I DONOT AGREE,MEETING_DISAGREEMENT
I agree.,I AGREE,MEETING_AGREEMENT
What do you think?,WHAT DO YOU THINK,MEETING_QUESTION
What you want,WHAT YOU WANT,MEETING_QUESTION
What happened?,WHAT HAPPENED,MEETING_QUESTION
What are you doing?,WHAT YOU DO,MEETING_QUESTION
I really appreciate it.,I REALLY APPRECIATE IT,MEETING_POLITENESS
Tell me truth,TELL ME TRUTH,MEETING_REQUEST
Try to understand.,TRY TO UNDERSTAND,MEETING_CLARIFICATION
That is so kind of you.,THAT KIND YOU,MEETING_POLITENESS
